SKU,PRODUCT_NAME,BRAND_NAME,SUBCATEGORY,CLASS,SPECIES,ECOMM_SHORT_DESCRIPTION,ECOMM_LONG_DESCRIPTION,PRODUCT_SIZE,CBD_RANGE,THC_RANGE,LLM_MENU_DESCRIPTION
1019082,SALTED CARAMEL CHOCOLATE SQUARE 1:1,Foray,Edibles,Chocolate,BLEND,Salted caramel chocolate with 10mg THC and 10mg of CBD. ,Square of salted caramel chocolate with 10mg THC and 10mg of CBD. Using chocolate supplied by Barry-Callebaut (one of world’s largest chocolate suppliers) and a blend of CO2 extracted cannabis distillate. ,10g,10mg,10mg,Indulgent salted caramel chocolate square with equal parts THC and CBD for a balanced and flavorful experience. Enjoy 10mg of each cannabinoid.
1028133,TROPIC THUNDER J'S PRE-ROLLS,Shred,Pre-roll,Blend,HYBRID,14-pack of hybrid pre-rolls with citrus and tropical aromas.,These hybrid pre-rolls come in a pack of 14 and include a combination of cultivars with citrus and tropical aromas.,7g,0–0.7%,18–24.4%,"Get ready for a tropical citrus blast with Tropic Thunder J's. Enjoy the hybrid blend in convenient pre-rolls, perfect for a flavorful high."
1030063,DOSECANN OMEGA CBD 25 SOFTGELS,Dosecann,Ingestible Extracts,Capsule and Pills,HYBRID,Softgel capsules with CBD isolate and sustainably-sourced Hemp oil (Cannabis sativa seed oil).,"Dosecann’s Omega CBD 25 Soft Gels, made from a potent blend of CBD isolate and pure, sustainably-sourced Hemp seed oil (Cannabis sativa seed oil). Their soft gels capsules are meticulously crafted to provide you with consistent, high-quality dosing every time you use them. At Dosecann, they're passionate about using only the finest natural ingredients to offer you the ultimate CBD experience. Trust Dosecann to deliver unparalleled quality and consistency with every soft gel.",30each,750mg,30mg,CBD softgel capsules with sustainably-sourced hemp oil for a calming and natural remedy. Easy to use and effective for relaxation and wellness.
1036201,ULTRA SOUR,Big Bag O' Buds,Flower,Sativa,SATIVA,"High-THC, sativa-dominant flower with a sweet and fruity aroma. ","Ultra Sour by Big Bag O'Buds is a high-THC, sativa-dominant flower with orange pistils from deep green, crystal rich buds. With terpenes, terpinolene, limonene and caryophyllene, Ultra Sour has tart undertones and diesel, pungent notes with a sweet, fruit aroma. ",28g,0–0.1%,23–29%,"Ultra Sour is a high-THC, sativa-dominant flower known for its sweet and fruity aroma."
1039247,BERRY GOOD DAY CBD GUMMIES,Monjour,Edibles,Chews,HYBRID,"Berry-flavoured, vegan gummies with 20mg of CBD each. ","These Monjour’s gummies contains 20mg CBD per piece. They are made from natural colours and are available in different sizes. Each pack features a mix of Blueberry, Strawberry, and Wild Berry flavours. Made with CBD Isolate and natural flavours.",135g,600mg,0–1.5mg,Vegan berry-flavoured CBD gummies with 20mg each. Perfect for a relaxing day with a sweet treat.
1046903,HGH PRE-ROLLS,Castle Rock Farms,Pre-roll,Indica,INDICA,"10-pack of high-THC, indica-dominant pre-rolls.","HGH was bred by combining GMO with Bruce Banner. These legendary cultivars are behind this beautiful indica-dominant flower. These buds grow large, dense, and covered in trichomes. Terpenes include caryophyllene, myrcene, and farnesene.",3.5g,0–0.8%,28–34%,10-pack of potent indica pre-rolls with high THC content. Perfect for relaxation and unwinding after a long day. Enjoy the smooth smoke.
1050095,ICE WATER HASH,Nugz,Inhalable Extracts,Hash,BLEND,1g of premium bubble hash expertly extracted by ice water.,"Nugz Ice Water Hash is a premium bubble hash derived from their rare genetic library, delivering true-to-strain terpene and flavour profiles. Produced using solventless extraction, Ice Water Hash is agitated and sieved in ice water to extract mature trichome heads and resin from whole buds. Nugz Ice Water Hash is offered in a rotation of single-strain genetics including Early Lemon Berry, Gelato Mint, Cuban Linx, Terple, Power Sherb, and Slapz.",1g,0–2%,60–66%,"1g of premium ice water hash, expertly extracted for a smooth and potent experience. Pure flavor and strong effects in every hit."
1050186,AMHERST SOUR DIESEL PRE-ROLLS,Common Ground,Pre-roll,Sativa,SATIVA,"Ten-pack of sativa-dominant, half-gram pre-rolls with ripe fruit, incense, and exotic wood flavours.","Amherst Sour Diesel is a Chemdog and Amherst Super Skunk, sativa-forward cross that features elongated, bright green, compact buds. In addition to a gassy aroma, it also delivers a complex flavour profile with a powerful punch of ripe fruit, incense, and exotic wood. Includes terpenes of Caryophyllene, Farnesene, and Myrcene. These pre-rolls are made from all bud - not shake - and rolled with a lightweight, organic hemp paper and mouthpiece for a smooth, even burn. Hang-dried, hand-trimmed, packaged inside FSC-certified cardboard boxes, and fresh-sealed inside a 100% recyclable, child-resistant pouch for optimal moisture content and shelf-life.",5g,0–5%,18–24%,"Ten-pack of Amherst Sour Diesel pre-rolls, sativa-dominant with fruity, incense, and exotic wood flavors. Perfect for a uplifting and energizing experience."
1051382,GLUERANGUTAN LIVE ROSIN ,GOOD BUDS,Inhalable Extracts,Resin and Rosin,HYBRID,1g of hybrid live rosin with notes of sweet and sour orange-lemon zest.,"Gluerangutan is a back-cross of the popular legacy strain Harambe (OG Kush x GG4 x Hash Plant). It flourishes on the ocean-kissed, FVOPA Certified Organic Salt Spring Island farm. Gluerangutan is a hybrid strain bursting with sweet and sour orange-lemon zest aromas, with gassy undertones and a fresh mountain pine finish. The top cut from a 100,000+ pheno hunt, Gluerangutan Live Rosin is squished in small batches from organically grown, fresh frozen hash, exclusively on Salt Spring Island, BC.",1g,0–5%,70–75%,1g of hybrid live rosin with a tasty blend of sweet and sour orange-lemon zest flavors. Unique and flavorful high.
1058395,HEAVY HITTER LEBANESE HASH INFUSED PRE-ROLL,1964,Inhalable Extracts,Infused Pre-roll,INDICA,Heavy-hitting flower infused with Lebanese Hash rolled into a 1g pre-roll.,The Heavy Hitter Flower and Lebanese Hash Infused Pre-roll combines the high-potency Lebanese Hash with some of our most popular organic flowers resulting in a smooth smoke.,1g,0–2%,32–38%,1g pre-roll with heavy-hitting Lebanese Hash-infused flower for a potent and flavorful experience.
